basin_id,in_mswep,candidate_rank
03274000,no,1639
03280000,no,1651
03456100,no,1853
03466208,no,1862
03466500,no,1864
03467609,no,1866
03470000,no,1868
03471500,no,1869
03473000,no,1870
03474000,no,1871
03475000,no,1872
03478400,no,1873
03485500,no,1875
03486000,no,1876
03491544,no,1881
03505550,no,1891
03508050,no,1892
03510577,no,1894
03524000,no,1899
03527000,no,1901
03527220,no,1902
03535000,no,1907
03535400,no,1909
03539600,no,1910
03539778,no,1911
03539800,no,1912
03558000,no,1920
03559500,no,1921
03565500,no,1925
03566000,no,1926
03566420,no,1927
03574500,no,1935
0357479650,no,1936
03578000,no,1941
03578500,no,1942
03601630,no,1958
04015330,no,1963
04021520,no,1964
04024000,no,1965
04024430,no,1967
04082400,no,2038
04084445,no,2040
04188337,no,2224
04188400,no,2225
04188433,no,2226
04188496,no,2227
04189000,no,2228
04191500,no,2229
04192500,no,2230
04200500,no,2243
04201500,no,2244
04202000,no,2245
04213000,no,2251
04213075,no,2253
05046000,no,2298
05050000,no,2300
05051300,no,2301
05051500,no,2302
05051522,no,2303
05051600,no,2304
05052500,no,2305
05053000,no,2306
05054000,no,2307
05054500,no,2308
05055300,no,2309
05055400,no,2310
05058000,no,2316
05058500,no,2317
05058700,no,2318
05059000,no,2319
05059700,no,2321
05060100,no,2324
05060500,no,2325
05063398,no,2330
05064000,no,2331
05065500,no,2332
05066500,no,2333
05069000,no,2334
05074500,no,2335
05075000,no,2336
05076000,no,2337
05078000,no,2338
05078230,no,2339
05078500,no,2340
05079000,no,2341
05080000,no,2342
05082625,no,2343
05084000,no,2344
05085000,no,2345
05085450,no,2346
05087500,no,2347
05090000,no,2348
05094000,no,2349
05099400,no,2350
05101000,no,2351
05104500,no,2352
05116500,no,2353
05120500,no,2354
05123400,no,2355
05124480,no,2356
05127500,no,2357
05129115,no,2358
05131500,no,2360
05132000,no,2361
05200510,no,2362
05211000,no,2363
05212700,no,2364
05227500,no,2365
05242300,no,2366
05243725,no,2367
05244000,no,2368
05245100,no,2369
05247500,no,2370
05267000,no,2371
05270500,no,2372
05270700,no,2373
05275000,no,2374
05280000,no,2375
05286000,no,2376
05288580,no,2378
05288705,no,2379
05289800,no,2380
05294000,no,2385
05304500,no,2387
05311000,no,2388
05313500,no,2389
05315000,no,2390
05316500,no,2391
05316580,no,2392
05317000,no,2393
05319500,no,2395
05320000,no,2396
05320500,no,2398
05325000,no,2399
05327000,no,2400
05330000,no,2401
05330920,no,2402
05331833,no,2403
05336700,no,2405
05338500,no,2407
05342000,no,2409
05345000,no,2411
05353800,no,2412
05355200,no,2413
05359500,no,2417
05379400,no,2427
05383075,no,2436
05383950,no,2437
05385000,no,2438
