basin_id,index,in_candidate_list_rank
05387500,765,2441
05388250,766,2442
05389000,767,2443
05393500,768,2446
05418400,769,2473
05420680,770,2477
05421000,771,2478
05421740,772,2479
05422000,773,2480
05422600,774,2482
05438283,775,2514
05449500,776,2526
05455100,777,2543
05455500,778,2544
05455700,779,2545
05457000,780,2546
05457700,781,2547
05458300,782,2549
05458500,783,2550
05458900,784,2551
05459500,785,2552
05462000,786,2553
05463000,787,2554
05463500,788,2555
05473450,789,2574
05476500,790,2577
05476750,791,2578
05479000,792,2579
05480500,793,2580
05481000,794,2581
05481300,795,2582
05482300,796,2587
05482500,797,2588
05483450,798,2589
05483600,799,2590
05484000,800,2591
05484650,801,2593
05484800,802,2594
05484900,803,2595
05485500,804,2596
05485605,805,2597
05485640,806,2598
05486000,807,2599
05486490,808,2600
05487470,809,2601
05487980,810,2603
05488110,811,2604
05488200,812,2605
05488500,813,2606
05489000,814,2607
05489500,815,2608
05490500,816,2609
05494300,817,2610
05495000,818,2611
05496000,819,2613
05497150,820,2615
05498150,821,2617
05498700,822,2618
05500000,823,2619
05501000,824,2620
05502300,825,2621
05503800,826,2623
05506100,827,2625
05506350,828,2626
05506800,829,2628
05507600,830,2629
05507800,831,2630
05508000,832,2631
05508805,833,2632
05514500,834,2633
06026210,835,2769
06076690,836,2795
06077200,837,2796
06077500,838,2797
06088500,839,2802
06089000,840,2803
06099000,841,2808
06099500,842,2809
06102050,843,2811
06102500,844,2812
06119600,845,2816
06120500,846,2817
06123030,847,2818
06133500,848,2826
06177500,849,2836
06187915,850,2841
06195600,851,2848
06209500,852,2855
06211000,853,2856
06211500,854,2857
06228350,855,2865
06235500,856,2866
06236100,857,2867
06289000,858,2884
06294000,859,2890
06295113,860,2891
06306300,861,2902
06307500,862,2903
06307616,863,2905
06308500,864,2908
06309200,865,2909
06331000,866,2927
06332000,867,2928
06332515,868,2929
06332523,869,2930
06332770,870,2931
06334500,871,2932
06335500,872,2933
06336000,873,2934
06336600,874,2935
06337000,875,2936
06339100,876,2937
06339500,877,2938
06340000,878,2939
06340500,879,2940
06342260,880,2941
06342450,881,2942
06343000,882,2943
06344600,883,2944
06345500,884,2945
06345780,885,2946
06347000,886,2947
06347500,887,2948
06348300,888,2949
06348500,889,2950
06349000,890,2951
06349600,891,2952
06350000,892,2953
06351200,893,2954
06352000,894,2955
06353000,895,2956
06354000,896,2957
06354580,897,2958
06355500,898,2960
06356500,899,2962
06357800,900,2963
06360500,901,2965
06386500,902,2967
06392900,903,2968
06395000,904,2971
06400875,905,2973
06402430,906,2976
06402600,907,2978
06403700,908,2980
06404000,909,2981
06406000,910,2982
06408650,911,2983
06408700,912,2984
06409000,913,2985
06422500,914,2986
06423500,915,2987
06425500,916,2989
06428500,917,2996
06429500,918,2997
