basin_id,total_steps,missing_steps,missing_rate_pct,num_gaps,max_gap_hours,mean_gap_hours,median_gap_hours,max_gap_days,mean_gap_days,gap_lengths_hours
08197500,394488,244099,61.8774,191,243246,1278.01,1.0,10135.25,53.25,243246;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;2;3;48;168;1;2;1;2;2;1;1;1;2;2;2;1;1;2;2;2;1;2;1;48;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;24;1;3;48;1;1;1;2;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;168;96;1;1;1;20;1;3;1;3;1;1;2;2;23;1;1;1
08198000,394488,247538,62.7492,360,243246,687.61,1.5,10135.25,28.65,243246;1;96;1;2;2;1;1;1;1;1;1;3;24;2;2;24;3;24;4;1;2;3;2;2;2;1;1;2;1;3;2;1;1;2;2;2;3;2;2;2;2;2;2;3;3;2;2;3;2;2;2;2;3;3;3;1;1;4;3;3;4;4;2;2;24;2;3;2;2;1;1;1;1;2;2;2;3;1;1;1;24;3;3;3;2;24;4;24;48;864;360;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;144;144;384;144;1;72;2;1;144;48;1;1;1;48;1;1;1;1;1;1;1;1;1;1;3;1;24;2;1;3;1;1;1;2;1;3;1;3;2;1;1;1;1;1;2;1;1;1;1;1;1;48;1;1;1;1;1;1;1;1;96;24;48;1;96;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;8;4;9;1;1;1;5;1;8;2;2;1;3;1;1;4;1;1;3;1;2;1;3;1;5;1;16;108;1;6;1;1;1;1;1;3;1;1;2;3;16;1;2;6;2;1;9;6;1;7;6;6;7;5;1;1;1;1;1;3;1;1;1;12;10;9;6;5;13;28;1;1;1;45;22;18;1;1;1;1;1;1;1;1;1;2;1;1;9;20;20;65;2;1;1;4;1;1;1;1;1;16;1;4;1;1;2;2;1;1;7;1;1;2;4;1;5;8;9;6;12;11;1;7;1;12;6;3;14;7;12;14;14;4;14;1;7;3;1;1;3;12;7;40;1;6;8;22;12;1;11;11;17;15;15;1;1;1
08198500,394488,244270,61.9208,569,243246,429.3,1.0,10135.25,17.89,243246;1;1;1;1;2;1;1;1;3;1;2;1;2;1;1;1;1;1;1;1;48;1;1;1;1;1;2;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;2;2;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;3;1;1;1;1;1;2;2;1;2;1;1;1;2;1;1;1;1;1;1;1;2;1;1;3;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;2;2;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;2;3;1;1;1;2;1;1;4;1;1;1;1;1;1;1;1;1;3;1;2;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;49;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;3;1;2;2;1;1;1;1;2;1;1;1;1;2;2;1;1;1;3;1;2;1;2;1;2;3;1;1;1;1;1;1;2;1;2;1;1;3;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;3;17;184;1;65;2;1;1;1;1;1;1;1;1;1;2;2;2;1;2;2;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
08200000,394488,246367,62.4523,92,243246,2677.9,2.0,10135.25,111.58,243246;72;2;24;2;48;24;24;96;24;192;96;72;24;2;2;1;3;24;24;3;2;48;2;1;72;1;2;1;1;1;1;1;1;3;1;1;2;2;1;1;24;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;144;1;72;48;48;48;3;2;1;48;1;1;1;24;7;740;1;3;304;1;9;13;1;381;1;1;1;2;1;1;1;262
08200720,394488,244229,61.9104,73,243246,3345.6,1.0,10135.25,139.4,243246;1;1;1;1;1;1;48;24;24;4;1;3;24;48;3;24;24;72;3;1;3;1;1;2;1;2;1;1;1;1;1;480;48;1;2;1;3;4;1;1;1;1;1;1;19;1;53;2;3;2;6;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;5;1;2;1;1;1
08200977,394488,245106,62.1327,143,243246,1714.03,1.0,10135.25,71.42,243246;1;144;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;144;1;2;1;1;1;1;1;1;1;1;2;1;1;3;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;41;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;3;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1267;40;3;9;1;8;55;1;1;1;1;1;1;1;1
08201500,394488,244277,61.9225,178,243246,1372.34,1.0,10135.25,57.18,243246;168;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;120;1;1;2;48;72;120;1;1;20;41;2;114;2;1;1;1;1;1;3;1;3;8;4;7;28;1;1;4;23;9;5;14;6;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;8;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;34;1;1;1;1;1
08204005,394488,245014,62.1094,120,243246,2041.78,1.0,10135.25,85.07,243246;1;1;24;1;48;1;2;1;72;2;1;1;1;1;1;2;1;1;48;1;1;1;2;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;2;98;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;49;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;24;216;1;1;1;1;2;48;1;1;1;1;1;48;72;1;48;1;24;48;120;288;144;1;1;4;232;1;1;1;2;1;1
08205500,394488,245238,62.1661,138,243246,1777.09,1.0,10135.25,74.05,243246;72;72;24;3;2;24;2;1;3;24;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;3;3;1;3;1;120;120;1;120;72;48;1;48;48;2;1;1;48;1;48;1;2;2;888;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;66;2;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;3;3;1;1
08206600,394488,246676,62.5307,489,243246,504.45,1.0,10135.25,21.02,243246;1;1;1;1;1;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;3;1;3;1;1;1;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;2;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;313;1;2;1;168;1;1;1;168;1;264;168;384;1;72;2;72;1;72;1;1;1;1;1;1;768;1;1;1;3;1;1;48;1;61;22;49;1;3;1;1;2;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;3;1;1;1;2;4;1;4;3;1;1;4;1;1;1;5;1;1;1;1;1;1;1;4;2;1;1;2;4;1;1;2;1;1;2;1;1;1;1;1;4;3;1;2;1;2;2;1;1;2;1;3;2;1;2;1;2;1;1;1;1;1;1;2;1;4;1;1;2;1;1;1;1;1;7;8;37;9;7;53;38;1;1;19;4;1;1;1;2;1;2;1;3;3;1;1;1;1;1;2;1;1;2;1;1;2;2;1;1;1;1;1;1;2;2;1;1;1;2;1;1;1;1;1;2;1;1;1;2;1;1;1;2;1;1;1;1;2;1;2;1;1;2;1;2;1;2;2;1;2;1;1;1;1;2;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;5;32;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;1;1;1;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;1;1;2;1;1;1;1;4;1;1;1;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;2;1;1;1;1;1;1;1;4;1;1;1;1;1;1;2;3;1;1;1
